1000|true|0100|0101|0150|0155|0152|0250|0200|0500|0501|0502
1001|true|0102|0151|0154|0152|0250|0200|null|0500|0501|0502
1002|true|0103|0151|0150|0152|0155|0251|0203|0500|0501|0502
1003|false|0100|0101|0150|0155|0202|0251|null|0500|0501|0502
1004|false|0100|0101|0150|0152|0155|0202|0251|0500|0501|0502
1005|false|0100|0101|0150|0152|0155|0202|0251|0500|0501|0502
1006|false|0100|0101|0150|0152|0155|0202|0251|0500|0501|0502
1500|true|0102|0151|0300|0200|null|null|null|0500|0501|null
1501|false|0102|0151|0300|0202|null|null|null|0500|0501|null
1502|false|0102|0151|0300|0202|null|null|null|0500|0501|null
1503|false|0102|0151|0300|0202|null|null|null|0500|0501|null
1504|false|0100|0202|null|null|null|null|null|0500|0501|null
1505|false|0104|0151|0301|0202|null|null|null|0500|0501|null
1506|false|0104|0151|0152|0301|0202|null|null|0500|0501|null
