4000|400|null|600|601|602|607|null
4001|401|null|600|601|602|607|null
4002|402|null|600|601|602|607|null
4100|403|400|600|601|602|607|603
4101|403|401|600|601|602|607|603
4102|403|402|600|601|602|607|603
4103|404|400|600|601|602|607|604
4104|404|401|600|601|602|607|604
4105|404|402|600|601|602|607|604
4106|405|400|600|601|602|607|605
4107|405|401|600|601|602|607|605
4108|405|402|600|601|602|607|605
4109|406|400|600|601|602|607|606
4110|406|401|600|601|602|607|606
4111|406|402|600|601|602|607|606
4200|403|null|600|601|602|607|603
4201|404|null|600|601|602|607|604
4202|405|null|600|601|602|607|605
4203|406|null|600|601|602|607|606
4300|null|null|null|null|null|null|null
4301|null|null|null|null|null|null|null
4302|null|null|null|null|null|null|null
4303|null|null|null|null|null|null|null
4304|null|null|null|null|null|null|null
4305|null|null|null|null|null|null|null
